first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,ppg_projection,value_projection,ppg_actual,value_actual
Joe,Flacco,QB,Q,6,2025-10-12,Sun-Mon,CIN,GB,+14.5,44.5,15,4000,14,9.7,10.4,8.5,12.2,3.06
Jauan,Jennings,WR,Q,6,2025-10-12,Sun-Mon,SF,TB,+3.5,47.5,22,4800,13,11.2,11.6,10.0,12.2,2.54
Zay,Flowers,WR,Q,6,2025-10-12,Sun-Mon,BAL,LAR,+7.5,44.5,18.5,5900,21,15.2,12.4,15.2,12.1,2.05
Cooper,Rush,QB,,6,2025-10-12,Sun-Mon,BAL,LAR,+7.5,44.5,18.5,4500,15,5.8,11.4,2.0,12.0,2.68
Travis,Kelce,TE,,6,2025-10-12,Sun-Mon,KC,DET,-2.5,51.5,27,4100,13,11.7,12.8,11.7,12.0,2.94
TreVeyon,Henderson,RB,,6,2025-10-12,Sun-Mon,NE,NO,-3.5,45.5,24.5,5200,24,8.4,8.4,8.4,12.0,2.30
Cooper,Kupp,WR,,6,2025-10-12,Sun-Mon,SEA,JAX,-0.5,47.5,24,4600,23,8.6,6.7,8.6,11.9,2.58
Rhamondre,Stevenson,RB,,6,2025-10-12,Sun-Mon,NE,NO,-3.5,45.5,24.5,5300,24,10.7,9.2,10.7,11.9,2.24
Alvin,Kamara,RB,Q,6,2025-10-12,Sun-Mon,NO,NE,+3.5,45.5,21,5700,4,11.6,13.6,11.6,11.6,2.04
Jacoby,Brissett,QB,,6,2025-10-12,Sun-Mon,ARI,IND,+7.5,46.5,19.5,4200,9,1.3,4.5,0.1,11.3,2.69
Sam,LaPorta,TE,,6,2025-10-12,Sun-Mon,DET,KC,+2.5,51.5,24.5,4600,3,10.8,13.8,10.8,11.3,2.46
DJ,Moore,WR,,6,2025-10-13,Sun-Mon,CHI,WAS,+5.5,50.5,22.5,5500,24,12.6,13.9,10.0,11.0,2.00
Romeo,Doubs,WR,,6,2025-10-12,Sun-Mon,GB,CIN,-14.5,44.5,29.5,5200,20,11.6,10.7,13.7,10.9,2.10
Calvin,Ridley,WR,,6,2025-10-12,Sun-Mon,TEN,LV,+4.5,41.5,18.5,4900,29,9.0,10.8,9.0,10.9,2.22
Tee,Higgins,WR,,6,2025-10-12,Sun-Mon,CIN,GB,+14.5,44.5,15,5700,15,8.2,13.8,8.2,10.8,1.89
Kendrick,Bourne,WR,,6,2025-10-12,Sun-Mon,SF,TB,+3.5,47.5,22,5000,13,9.4,7.6,11.0,10.8,2.15
Keon,Coleman,WR,,6,2025-10-13,Sun-Mon,BUF,ATL,-3.5,50.5,27,5300,6,11.5,8.3,11.5,10.5,1.98
Tre,Tucker,WR,,6,2025-10-12,Sun-Mon,LV,TEN,-4.5,41.5,23,4800,25,15.5,10.6,15.5,10.5,2.20
Jerry,Jeudy,WR,,6,2025-10-12,Sun-Mon,CLE,PIT,+5.5,38.5,16.5,4500,28,6.9,11.5,6.9,10.5,2.33
Kyle,Pitts Sr.,TE,,6,2025-10-13,Sun-Mon,ATL,BUF,+3.5,50.5,23.5,3700,2,10.0,7.5,11.6,10.4,2.81
Matthew,Golden,WR,,6,2025-10-12,Sun-Mon,GB,CIN,-14.5,44.5,29.5,5000,20,6.6,6.6,6.6,10.4,2.08
Jameson,Williams,WR,,6,2025-10-12,Sun-Mon,DET,KC,+2.5,51.5,24.5,4700,8,8.5,13.2,8.5,10.3,2.18
Rashid,Shaheed,WR,,6,2025-10-12,Sun-Mon,NO,NE,+3.5,45.5,21,4600,22,13.3,12.5,13.3,10.3,2.23
David,Montgomery,RB,,6,2025-10-12,Sun-Mon,DET,KC,+2.5,51.5,24.5,5500,13,14.6,13.5,14.6,10.2,1.86
Hassan,Haskins,RB,,6,2025-10-12,Sun-Mon,LAC,MIA,-4.5,43.5,24,5000,28,5.8,2.9,2.5,10.2,2.04
Hunter,Henry,TE,,6,2025-10-12,Sun-Mon,NE,NO,-3.5,45.5,24.5,4300,26,12.0,10.4,12.0,10.1,2.35
Kenneth,Gainwell,RB,,6,2025-10-12,Sun-Mon,PIT,CLE,-5.5,38.5,22,5400,1,10.8,6.9,13.2,10.0,1.84
Travis,Hunter,WR,,6,2025-10-12,Sun-Mon,JAX,SEA,+0.5,47.5,23.5,4700,12,6.8,6.8,6.8,9.9,2.10
Josh,Downs,WR,,6,2025-10-12,Sun-Mon,IND,ARI,-7.5,46.5,27,4300,18,7.5,8.9,7.5,9.8,2.27
Darren,Waller,TE,Q,6,2025-10-12,Sun-Mon,MIA,LAC,+4.5,43.5,19.5,4000,5,12.3,11.9,18.3,9.8,2.44
Hollywood,Brown,WR,,6,2025-10-12,Sun-Mon,KC,DET,-2.5,51.5,27,4800,26,11.5,8.6,11.5,9.5,1.98
Zach,Charbonnet,RB,,6,2025-10-12,Sun-Mon,SEA,JAX,-0.5,47.5,24,5100,14,9.0,12.6,9.0,9.4,1.84
Sterling,Shepard,WR,,6,2025-10-12,Sun-Mon,TB,SF,-3.5,47.5,25.5,3800,11,8.4,6.2,8.4,9.4,2.48
Jake,Tonges,TE,,6,2025-10-12,Sun-Mon,SF,TB,+3.5,47.5,22,3700,21,10.7,5.4,10.7,9.4,2.55
Juwan,Johnson,TE,Q,6,2025-10-12,Sun-Mon,NO,NE,+3.5,45.5,21,3300,32,10.4,10.2,10.4,9.2,2.77
Ryan,Flournoy,WR,,6,2025-10-12,Sun-Mon,DAL,CAR,-3.5,49.5,26.5,3600,2,7.0,4.6,10.0,9.0,2.49
Kareem,Hunt,RB,,6,2025-10-12,Sun-Mon,KC,DET,-2.5,51.5,27,4600,6,9.0,9.7,9.0,8.9,1.93
Zach,Ertz,TE,,6,2025-10-13,Sun-Mon,WAS,CHI,-5.5,50.5,28,3600,17,8.6,12.6,8.6,8.9,2.47
Dontayvion,Wicks,WR,,6,2025-10-12,Sun-Mon,GB,CIN,-14.5,44.5,29.5,3700,20,5.5,6.8,5.4,8.7,2.36
Michael,Mayer,TE,,6,2025-10-12,Sun-Mon,LV,TEN,-4.5,41.5,23,3100,10,3.8,4.0,3.6,8.7,2.79
Tez,Johnson,WR,,6,2025-10-12,Sun-Mon,TB,SF,-3.5,47.5,25.5,3200,11,3.1,3.1,3.1,8.6,2.69
Michael,Carter,RB,,6,2025-10-12,Sun-Mon,ARI,IND,+7.5,46.5,19.5,5300,5,10.8,8.0,9.2,8.5,1.59
Packers,,DST,,6,2025-10-12,Sun-Mon,GB,CIN,-14.5,44.5,29.5,3700,32,4.4,6.4,5.0,8.3,2.24
Cade,Otton,TE,,6,2025-10-12,Sun-Mon,TB,SF,-3.5,47.5,25.5,3400,15,5.3,6.0,5.4,8.3,2.45
Dyami,Brown,WR,Q,6,2025-10-12,Sun-Mon,JAX,SEA,+0.5,47.5,23.5,4200,12,7.8,9.5,8.2,8.2,1.95
David,Njoku,TE,,6,2025-10-12,Sun-Mon,CLE,PIT,+5.5,38.5,16.5,3500,25,9.1,12.7,9.1,8.2,2.35
Isiah,Pacheco,RB,,6,2025-10-12,Sun-Mon,KC,DET,-2.5,51.5,27,5100,6,7.2,5.0,7.2,8.0,1.57
Steelers,,DST,,6,2025-10-12,Sun-Mon,PIT,CLE,-5.5,38.5,22,3600,29,6.6,6.0,8.3,8.0,2.22
Jonnu,Smith,TE,,6,2025-10-12,Sun-Mon,PIT,CLE,-5.5,38.5,22,3200,12,9.3,12.8,6.8,7.9,2.46
Elic,Ayomanor,WR,,6,2025-10-12,Sun-Mon,TEN,LV,+4.5,41.5,18.5,3900,29,8.6,8.6,8.6,7.8,1.99
Mark,Andrews,TE,,6,2025-10-12,Sun-Mon,BAL,LAR,+7.5,44.5,18.5,3800,18,8.8,10.4,8.8,7.7,2.02
Jalen,Tolbert,WR,,6,2025-10-12,Sun-Mon,DAL,CAR,-3.5,49.5,26.5,3500,2,4.4,6.6,4.4,7.7,2.20
Colts,,DST,,6,2025-10-12,Sun-Mon,IND,ARI,-7.5,46.5,27,3300,21,10.2,6.9,10.2,7.7,2.32
Zonovan,Knight,RB,,6,2025-10-12,Sun-Mon,ARI,IND,+7.5,46.5,19.5,4300,5,4.2,7.2,9.4,7.7,1.78
Malik,Washington,WR,,6,2025-10-12,Sun-Mon,MIA,LAC,+4.5,43.5,19.5,3700,4,5.7,6.1,5.7,7.7,2.09
Harold,Fannin Jr.,TE,,6,2025-10-12,Sun-Mon,CLE,PIT,+5.5,38.5,16.5,3400,25,8.9,8.9,8.9,7.7,2.26
Isaiah,Bond,WR,,6,2025-10-12,Sun-Mon,CLE,PIT,+5.5,38.5,16.5,3700,28,4.3,4.3,4.3,7.7,2.08
Rams,,DST,,6,2025-10-12,Sun-Mon,LAR,BAL,-7.5,44.5,26,3500,13,6.8,8.7,6.8,7.6,2.18
Raiders,,DST,,6,2025-10-12,Sun-Mon,LV,TEN,-4.5,41.5,23,3200,30,2.6,4.6,2.6,7.6,2.36
Kimani,Vidal,RB,,6,2025-10-12,Sun-Mon,LAC,MIA,-4.5,43.5,24,5000,28,2.4,2.3,2.9,7.6,1.53
AJ,Barner,TE,,6,2025-10-12,Sun-Mon,SEA,JAX,-0.5,47.5,24,3600,14,10.4,7.9,10.4,7.4,2.06
Commanders,,DST,,6,2025-10-13,Sun-Mon,WAS,CHI,-5.5,50.5,28,3000,9,7.4,6.3,7.4,7.2,2.40
Olamide,Zaccheaus,WR,,6,2025-10-13,Sun-Mon,CHI,WAS,+5.5,50.5,22.5,3500,24,7.3,9.6,7.0,7.2,2.05
Alec,Pierce,WR,Q,6,2025-10-12,Sun-Mon,IND,ARI,-7.5,46.5,27,4400,18,13.4,11.0,8.7,7.1,1.60
