Overall Rank,Name,Position,Team,Bye,Position Rank,Tier,OverallTier
260,Kenneth Gainwell,RB,PHI,5,74,8,26
261,Miles Sanders,RB,CAR,11,94,8,27
262,Treylon Burks,WR,TEN,5,113,10,27
263,Samaje Perine,RB,DEN,14,88,8,27
264,A.T. Perry,WR,NO,12,98,10,27
265,K.J. Osborn,WR,NE,14,106,10,27
266,Brenden Rice,WR,LAC,5,89,10,27
267,Rondale Moore,WR,ATL,12,99,11,27
268,Jarrett Stidham,QB,DEN,14,54,5,27
269,Jake Browning,QB,CIN,12,46,5,27
270,Chase Claypool,WR,SF,12,118,11,27
271,Rasheen Ali,RB,BAL,14,81,8,28
272,Gerald Everett,TE,CHI,7,48,4,28
273,Marquez Valdes-Scantling,WR,BUF,12,129,11,28
274,Jamaal Williams,RB,NO,12,86,8,28
275,Josh Reynolds,WR,DEN,14,112,11,28
276,Jonathan Mingo,WR,CAR,11,111,11,28
277,Tyler Higbee,TE,LAR,6,43,5,28
278,Jason Sanders,K,MIA,6,1,1,28
279,Tyler Bass,K,BUF,12,0,2,28
280,Daniel Carlson,K,LV,10,3,2,28
281,Cordarrelle Patterson,RB,PIT,9,103,8,29
282,Xavier Gipson,WR,NYJ,12,130,11,29
283,Jauan Jennings,WR,SF,9,131,11,29
284,Andrei Iosivas,WR,CIN,12,117,11,29
285,Van Jefferson,WR,PIT,9,132,11,29
286,Calvin Austin,WR,PIT,0,133,11,29
287,Louis Rees-Zammit,RB,KC,0,95,9,29
288,Cedric Tillman,WR,CLE,10,121,12,29
289,Jason Myers,K,SEA,10,2,2,29
290,J.J. McCarthy,QB,MIN,6,27,5,29
291,Ty'Son Williams,RB,DEN,0,75,9,30
292,Anthony Jones,RB,DEN,0,76,9,30
293,Marqise Lee,WR,MIA,0,93,12,30
294,K.J. Costello,QB,CHI,0,36,5,30
295,Charlie Taumoepeau,TE,ARI,0,39,5,30
296,Anthony McFarland,RB,MIA,0,77,9,30
297,Dylan McDuffie,RB,BAL,0,78,9,30
298,Mike Weber,RB,NO,0,79,9,30
299,MyCole Pruitt,TE,PIT,0,41,5,30
300,Jon Hilliman,RB,ATL,0,80,9,30
301,Jazz Ferguson,WR,BAL,0,100,12,31
302,Jalen Virgil,WR,DEN,0,101,12,31
303,Jhamon Ausbon,WR,PHI,0,102,12,31
304,Brandon McManus,K,IND,0,4,2,31
305,James White,RB,WAS,0,82,9,31
306,Ethan Fernea,WR,IND,0,103,12,31
307,Deuce Vaughn,RB,DAL,7,83,9,31
308,Eric Tomlinson,TE,IND,0,42,5,31
309,J.D. McKissic,RB,SF,0,84,9,31
310,Corey Clement,RB,CLE,0,85,10,31
311,Speedy Noil,WR,IND,0,105,12,32
312,Peter LeBlanc,WR,SEA,0,107,12,32
313,Eli Stove,WR,CAR,0,108,12,32
314,Caleb Huntley,RB,NE,0,87,10,32
315,Amba Etta-Tawo,WR,CLE,0,109,12,32
316,Clayton Thorson,QB,NYG,0,38,5,32
317,Kadarius Toney,WR,KC,6,110,13,32
318,Cole McDonald,QB,LAR,0,39,5,32
319,Malcolm Brown,RB,CIN,0,90,10,32
320,Ray Lawry,RB,TEN,0,91,10,32
